Heatwave Spatial Coverage,,,,,,,,,,,,,,,,,,,,,
Monthly % of LME Impacted,,,,,,,,,,,,,,,,,,,,,
Year,California Current,Gulf Of Mexico,Caribbean,Southeast,Northeast,Gulf of Alaska,Eastern Bering Sea,Chukchi Sea,Hawaiian Insular LME,Lake Ontario,Lake Michigan,Lake Huron,Lake Erie,Lake Superior,American Samoa,Jarvis Island,Kingman Reef & Palmyra Atoll,Howland & Baker Islands,Johnson Atoll,Wake Island,Guam & CNMI
Aug1985,0.23,0.01,0.01,0.00,0.00,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sep1985,1.42,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.64,0.00
Oct1985,0.30,0.55,0.00,2.03,0.52,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nov1985,0.15,1.37,0.01,6.12,13.45,0.00,0.00,0.06,0.09,2.22,0.33,0.40,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dec1985,0.22,1.28,0.00,2.65,4.25,0.00,0.04,1.13,0.40,0.88,0.00,0.05,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jan1986,0.54,2.31,0.00,1.68,1.85,0.00,0.46,1.24,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22
Feb1986,0.49,0.80,0.01,1.11,2.08,0.04,0.20,0.08,0.24,0.00,0.00,0.00,22.59,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02
Mar1986,4.77,0.11,0.01,2.78,2.03,0.16,0.46,0.80,3.33,0.00,0.32,0.00,0.00,0.06,0.02,0.00,0.03,0.00,0.63,0.00,0.01
Apr1986,1.30,0.00,0.00,3.90,4.56,0.05,0.18,1.18,1.33,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.02,0.00,0.52,0.09,0.00
May1986,1.02,0.00,0.07,0.09,1.43,0.00,0.02,1.17,0.06,0.00,0.00,0.00,0.00,0.78,0.00,0.00,0.00,0.00,3.40,0.00,0.01
Jun1986,2.67,0.09,0.06,1.19,0.10,0.02,0.00,0.91,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.01
Jul1986,0.24,0.37,0.01,0.69,0.02,0.00,0.00,0.44,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00
Aug1986,1.02,0.09,0.01,0.00,0.01,0.08,0.00,0.06,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.00
Sep1986,0.00,0.02,0.00,0.00,0.00,0.04,0.00,0.22,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,9.67,0.13,0.00,0.00
Oct1986,0.00,1.45,0.00,2.65,0.30,1.42,0.02,0.06,0.71,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.45,6.36,0.43,0.00,0.00
Nov1986,0.03,3.60,0.55,12.10,0.69,17.51,2.06,0.47,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,1.85,0.00,0.00,0.00
Dec1986,1.99,3.27,0.21,21.47,0.16,10.53,0.65,0.67,0.39,0.00,0.00,0.00,0.00,4.35,0.00,0.20,0.80,0.01,0.00,0.00,0.00
Jan1987,1.51,1.83,0.60,14.20,0.22,14.74,0.23,0.48,0.53,0.00,0.10,0.00,0.00,0.10,0.00,2.25,0.89,1.24,0.00,0.00,0.00
Feb1987,0.88,0.16,0.07,3.48,0.01,4.80,0.28,0.04,0.05,0.00,0.32,0.00,0.00,0.00,0.15,1.56,0.00,1.55,0.00,0.00,0.01
Mar1987,0.64,0.05,0.14,0.81,0.00,3.70,4.71,0.04,0.02,0.29,0.00,0.52,0.08,3.03,0.00,5.94,0.01,2.90,0.00,0.00,0.33
Apr1987,1.21,0.00,0.32,0.03,0.55,1.09,8.08,1.31,0.00,9.49,8.18,17.09,0.08,23.62,0.00,5.30,0.01,10.34,0.00,0.00,1.77
May1987,1.02,0.04,1.51,0.06,0.12,0.21,0.39,2.59,0.00,0.00,0.45,2.43,0.00,7.71,0.00,4.03,0.06,2.06,0.00,0.00,0.01
Jun1987,0.01,0.00,0.57,0.06,0.00,0.00,0.02,0.43,0.00,0.00,13.40,3.19,3.57,2.09,0.00,35.96,0.73,4.74,0.08,0.00,0.00
Jul1987,0.04,0.19,0.05,4.30,0.51,0.00,0.01,0.32,0.07,0.88,0.45,1.07,0.00,0.00,0.00,59.07,0.60,7.44,0.19,0.02,0.00
Aug1987,0.27,0.19,0.13,2.34,0.00,0.05,0.01,0.00,1.57,0.00,0.13,0.00,0.00,0.10,0.00,56.40,1.46,0.28,0.12,0.00,0.00
Sep1987,0.66,0.55,0.27,1.91,0.07,0.01,0.01,0.00,1.78,0.00,0.00,0.00,0.00,0.00,0.00,19.11,4.24,0.04,0.33,0.69,0.01
Oct1987,1.73,0.05,0.21,0.06,0.00,0.02,0.00,0.26,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.26,0.22,8.82,0.00,0.01,0.00
Nov1987,1.40,0.00,0.25,0.01,0.00,1.36,0.00,0.45,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.04,3.36,4.66,0.15,0.00,0.00
Dec1987,0.17,0.14,0.91,2.31,0.00,0.24,0.02,0.62,0.05,0.00,0.00,0.00,0.00,0.56,0.00,0.02,2.35,1.23,0.00,0.00,0.00
