Heatwave Spatial Coverage,,,,,,,,,,,,,,,,,,,,,
Monthly % of LME Impacted,,,,,,,,,,,,,,,,,,,,,
Year,California Current,Gulf Of Mexico,Caribbean,Southeast,Northeast,Gulf of Alaska,Eastern Bering Sea,Chukchi Sea,Hawaiian Insular LME,Lake Ontario,Lake Michigan,Lake Huron,Lake Erie,Lake Superior,American Samoa,Jarvis Island,Kingman Reef & Palmyra Atoll,Howland & Baker Islands,Johnson Atoll,Wake Island,Guam & CNMI
Feb2006,1.05,4.97,0.10,0.00,1.42,0.40,0.21,2.96,7.18,5.09,10.79,8.26,7.39,18.61,0.00,0.00,0.00,0.00,6.63,3.70,1.23
Mar2006,0.43,3.65,0.23,0.00,0.01,0.15,0.32,3.39,2.66,0.20,1.21,6.12,0.00,4.25,0.04,0.00,0.00,0.00,3.84,0.18,0.22
Apr2006,0.24,4.24,0.29,0.00,0.55,0.04,0.19,3.01,10.50,4.95,4.32,4.21,1.78,12.17,0.39,0.00,0.48,0.00,2.09,0.15,1.16
May2006,0.07,2.99,2.94,0.28,0.26,1.17,0.01,7.46,1.04,3.13,0.00,0.00,1.20,1.30,1.71,0.00,0.00,0.00,0.00,0.00,0.14
Jun2006,0.64,0.14,5.06,0.01,0.60,4.77,0.76,6.90,0.41,2.42,1.82,13.50,1.40,22.15,0.00,0.00,0.00,0.08,0.00,0.08,0.00
Jul2006,3.12,1.57,2.58,1.06,0.30,0.25,0.22,0.30,0.01,0.00,0.03,5.74,0.00,39.65,0.77,0.00,0.01,0.00,0.00,0.01,0.01
Aug2006,3.67,0.79,0.12,1.08,1.57,0.03,0.01,0.01,0.00,6.35,12.23,23.81,13.05,23.12,3.79,0.00,0.18,15.14,0.00,0.00,0.01
Sep2006,1.78,5.16,4.34,1.38,0.02,0.02,0.83,0.96,0.00,0.00,0.03,0.00,0.00,11.47,0.12,0.00,0.64,37.65,0.00,0.00,3.29
Oct2006,0.81,1.62,7.16,7.63,0.00,0.14,1.19,0.09,0.65,0.00,0.00,0.00,0.00,5.51,3.96,0.24,3.19,10.85,0.49,0.01,0.04
Nov2006,2.77,0.38,7.49,0.05,1.18,0.17,5.09,0.30,2.41,0.00,0.00,0.00,0.00,0.00,1.72,0.47,6.13,48.13,13.57,0.00,0.00
Dec2006,2.94,0.16,0.64,2.23,5.18,0.05,3.67,2.12,2.27,1.47,0.00,0.25,0.00,0.28,9.37,0.07,5.50,27.35,1.53,0.00,0.26
Jan2007,0.85,2.54,0.63,2.05,40.34,0.15,0.17,0.66,2.72,57.38,20.70,34.39,67.67,10.90,5.31,0.00,0.50,6.42,0.00,0.00,1.51
Feb2007,0.02,0.33,5.11,0.11,4.94,0.07,0.05,1.92,0.19,15.15,0.04,1.45,0.83,8.74,1.61,0.00,0.00,0.00,0.00,0.00,2.33
Mar2007,0.00,1.16,5.14,1.04,0.01,0.24,0.10,0.09,1.82,0.00,0.00,0.03,0.00,7.77,4.25,0.00,0.00,0.02,0.27,0.00,0.01
Apr2007,0.00,2.03,3.67,2.27,0.01,0.09,0.05,6.46,1.72,0.00,0.00,0.00,0.00,1.24,1.24,0.00,0.00,0.01,0.00,0.00,0.00
May2007,0.01,0.08,2.67,0.05,0.28,0.00,0.04,5.51,1.03,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,0.00,0.00,1.90,0.01
Jun2007,0.17,0.03,7.73,0.00,0.31,0.03,1.13,13.35,1.19,0.61,7.59,1.16,2.25,0.00,0.02,0.00,0.00,0.00,0.00,12.54,0.03
Jul2007,5.90,0.29,1.81,0.34,0.02,0.13,1.98,41.27,0.61,0.00,0.26,0.05,0.00,0.00,0.01,0.00,0.00,0.00,0.00,39.34,7.54
Aug2007,1.07,0.41,1.88,3.47,0.83,0.23,0.96,59.88,15.81,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.51,0.18
Sep2007,0.07,2.17,0.19,1.76,0.29,0.07,0.40,64.26,2.41,0.00,0.00,0.00,0.00,0.00,0.74,0.00,0.00,0.00,0.00,0.38,0.17
Oct2007,0.00,0.45,0.88,4.44,12.46,0.00,0.00,41.29,1.58,24.83,16.16,15.42,32.71,0.00,1.17,0.00,0.00,0.00,0.00,7.29,0.00
Nov2007,0.03,0.46,0.00,0.80,0.55,0.00,0.00,19.76,4.39,8.48,2.31,1.21,3.10,0.83,0.07,0.00,0.00,0.00,0.00,1.90,0.00
Dec2007,0.00,3.15,0.01,0.59,0.13,0.00,0.05,14.83,1.96,0.00,0.16,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,4.46,1.10
Jan2008,0.00,1.27,0.03,0.20,0.24,0.02,0.02,1.17,3.66,0.00,0.10,0.08,0.00,0.52,0.00,0.00,0.00,0.00,0.00,9.54,8.81
Feb2008,0.00,3.28,0.65,4.92,0.03,0.07,0.13,0.39,11.14,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.60,4.76
Mar2008,0.00,0.65,0.06,0.30,0.01,0.00,0.07,1.30,8.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,37.86,0.59
Apr2008,0.00,1.65,0.00,0.11,3.51,0.00,0.00,2.25,8.78,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,54.36,13.05
May2008,0.01,0.67,0.16,0.00,0.59,0.00,0.01,4.42,6.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,37.00,3.87
Jun2008,0.07,0.46,0.00,2.58,1.46,0.00,0.03,0.18,2.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,4.42,0.01
Jul2008,0.12,0.00,0.00,0.00,0.88,0.01,0.05,5.34,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.04
Aug2008,0.23,0.22,0.31,0.00,0.01,0.00,3.16,7.51,0.01,0.00,0.00,0.00,0.00,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.14
Sep2008,0.14,0.07,1.59,0.31,0.18,0.00,4.21,9.06,0.38,0.00,1.29,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,6.16
Oct2008,1.18,0.02,0.25,0.00,0.04,0.00,4.66,7.64,2.39,0.00,4.50,0.00,0.00,0.22,0.01,0.00,0.00,0.00,0.00,0.00,8.58
Nov2008,0.69,0.03,0.56,0.04,0.43,0.00,0.00,0.05,0.14,0.00,0.59,0.00,0.00,0.17,0.09,0.00,0.00,0.00,0.00,0.37,4.48
Dec2008,0.26,0.06,0.00,0.00,0.71,0.00,0.00,1.96,0.25,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1.24
Jan2009,0.06,1.42,0.00,0.01,0.02,0.00,0.02,0.52,0.20,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.17,0.00,5.67
Feb2009,0.20,2.67,0.00,0.00,0.11,0.04,0.02,0.36,0.00,0.00,0.00,0.00,1.83,0.00,0.01,0.00,0.00,0.00,0.00,0.00,1.67
Mar2009,0.61,2.10,0.01,0.00,0.25,0.01,0.12,1.02,0.19,0.00,0.00,0.14,0.23,0.00,0.24,0.00,0.00,0.00,0.00,0.00,2.22
Apr2009,0.01,0.01,0.08,0.01,0.10,0.00,0.02,1.39,4.31,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.12
May2009,0.03,1.45,0.04,0.07,0.27,0.03,0.31,15.45,3.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.92,35.18,0.24
Jun2009,5.59,1.63,0.33,5.86,2.16,1.46,0.27,1.35,2.24,0.00,2.38,2.80,0.00,0.06,0.58,0.02,0.64,0.00,4.15,77.01,1.38
Jul2009,0.10,9.54,0.18,0.91,2.04,0.03,0.00,1.58,5.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.49,46.05,0.93
Aug2009,0.25,2.04,0.03,0.01,6.12,0.06,0.00,4.25,8.92,1.37,0.00,0.00,0.00,0.00,0.32,0.00,5.22,0.01,0.05,3.02,3.63
Sep2009,1.35,14.05,1.29,1.07,0.69,0.00,0.00,0.76,0.79,0.00,2.71,2.20,0.00,3.79,0.00,0.00,0.06,0.00,0.00,0.00,0.23
Oct2009,0.21,21.21,1.04,9.95,0.16,0.02,0.02,2.84,0.39,0.00,0.00,0.00,0.00,0.00,4.12,8.04,11.95,29.93,0.00,0.00,0.00
Nov2009,0.01,0.50,1.10,1.97,7.15,0.00,0.00,2.29,0.05,11.62,3.37,11.95,14.81,17.50,5.45,34.26,38.63,71.69,0.13,0.00,0.00
Dec2009,0.08,0.29,5.28,0.96,8.52,0.00,0.00,0.20,3.93,11.14,2.30,9.62,7.20,14.43,2.90,42.79,14.34,46.14,0.01,0.07,0.02
Jan2010,0.45,0.05,7.97,0.01,0.00,0.02,0.15,0.22,4.02,0.00,1.25,0.27,0.00,6.61,9.45,59.65,12.25,18.83,1.08,0.35,0.16
Feb2010,0.08,0.05,9.58,0.00,0.00,1.42,0.24,0.12,0.16,0.00,0.00,0.36,0.00,0.00,0.47,27.26,12.61,33.07,0.00,0.00,0.00
Mar2010,0.08,0.00,27.19,0.00,1.09,0.84,0.09,0.19,0.06,0.98,7.31,12.44,4.43,6.07,18.61,28.16,1.78,14.73,0.00,0.00,0.02
Apr2010,0.65,0.01,30.02,0.00,10.72,0.00,0.01,0.29,0.06,14.24,26.21,40.57,10.31,23.81,17.39,19.61,1.90,8.79,0.00,0.00,0.00
May2010,0.00,2.39,35.59,0.05,6.68,0.33,0.00,1.15,0.24,15.25,31.11,42.56,15.23,40.43,9.39,0.03,1.25,0.00,0.00,3.81,0.50
Jun2010,0.00,21.98,28.49,32.54,16.50,0.20,0.18,1.57,0.72,19.29,34.95,32.97,16.20,41.55,22.49,0.00,0.00,0.00,0.00,0.13,0.06
Jul2010,0.01,1.06,33.46,5.85,26.05,0.00,0.13,0.79,3.34,2.15,15.24,1.69,20.33,25.11,17.81,0.00,0.00,0.00,0.00,0.00,0.10
Aug2010,0.00,8.83,23.57,10.38,1.71,0.00,0.08,1.02,0.25,0.00,12.36,0.77,0.15,27.77,1.53,0.00,0.00,0.00,0.00,0.00,0.00
Sep2010,0.03,0.30,11.28,7.44,0.78,0.04,0.00,11.94,1.78,0.00,1.19,0.00,0.54,0.43,3.48,0.00,0.00,0.00,0.00,0.00,0.76
Oct2010,0.02,0.05,2.18,0.96,0.07,0.01,0.00,2.44,1.03,0.00,0.13,0.00,0.00,10.18,0.05,0.00,0.00,0.00,0.00,0.00,0.01
Nov2010,0.00,0.05,0.94,0.03,0.29,0.13,0.00,1.20,1.00,21.21,1.09,10.96,0.00,10.23,0.09,0.00,0.00,0.00,0.04,0.00,0.41
Dec2010,0.01,0.00,2.31,0.00,0.00,0.00,0.07,0.91,3.60,0.00,1.37,1.61,0.00,1.52,0.00,0.00,0.00,0.00,0.73,0.09,1.72
Jan2011,0.02,0.01,5.73,0.00,0.00,0.01,0.10,0.69,5.30,0.00,0.83,0.19,0.00,4.57,0.00,0.00,0.00,0.00,8.88,0.02,9.60
Feb2011,0.02,0.05,0.14,0.00,0.09,0.17,0.09,0.29,2.08,0.00,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,1.58,0.13,4.66
Mar2011,0.07,0.94,0.01,0.00,0.47,0.00,1.84,1.19,4.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,2.44,4.11,0.01
Apr2011,0.09,2.83,0.91,5.71,0.40,0.00,0.37,0.40,11.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,49.42,4.88
May2011,0.02,0.99,1.07,1.98,5.28,0.00,0.01,0.64,4.53,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.00,0.00,7.40,25.81,4.13
Jun2011,0.04,0.61,3.78,0.38,16.89,0.74,0.01,0.73,6.08,0.00,0.00,0.00,1.86,0.00,3.01,0.00,0.00,0.00,0.00,0.33,0.32
Jul2011,0.03,2.86,1.13,0.29,2.70,0.01,0.05,2.50,0.42,8.60,0.35,2.02,27.38,0.00,2.24,0.00,0.00,0.00,0.00,0.01,0.04
Aug2011,0.00,18.53,2.35,2.07,1.75,0.01,0.14,2.98,0.18,0.00,1.41,1.59,17.55,0.72,0.10,0.00,0.00,0.00,0.00,0.01,0.00
Sep2011,0.06,2.29,1.09,0.53,3.15,0.02,0.00,10.25,0.43,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oct2011,0.79,0.94,2.06,0.81,5.47,0.03,0.01,13.44,0.27,0.00,0.00,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nov2011,0.04,0.48,1.10,0.01,0.90,0.00,0.00,3.08,1.99,0.51,0.03,2.77,0.16,0.27,0.01,0.00,0.00,0.00,0.00,2.33,0.00
Dec2011,0.02,0.41,1.02,0.09,15.07,0.00,0.11,0.67,8.16,1.86,5.91,2.57,3.83,0.68,0.00,0.00,0.00,0.00,0.01,12.17,0.00
Jan2012,0.11,2.94,0.10,0.12,11.84,0.04,0.15,0.38,11.77,14.08,21.65,3.09,15.15,2.26,0.00,0.00,0.00,0.00,0.00,17.90,0.02
Feb2012,0.01,0.67,0.00,0.76,27.97,0.00,0.20,0.48,6.30,36.05,53.50,37.52,56.38,15.31,0.00,0.00,0.00,0.00,0.02,20.82,0.04
Mar2012,0.02,11.88,0.00,6.81,59.77,0.00,0.09,0.96,1.36,72.73,62.15,56.81,71.87,52.64,0.00,0.00,0.00,0.00,0.00,7.91,0.00
Apr2012,0.16,11.83,0.08,4.27,54.99,0.00,0.01,0.95,0.76,97.07,90.69,91.41,92.95,75.18,0.00,0.00,0.00,0.00,0.08,2.71,0.26
May2012,0.13,9.75,0.82,3.93,52.20,0.00,0.00,1.07,7.86,68.13,54.62,82.59,52.51,22.94,0.00,0.00,0.00,0.00,0.00,0.02,24.42
Jun2012,0.06,0.11,0.90,0.05,12.75,0.00,0.00,1.30,4.07,36.26,23.47,7.63,4.73,55.63,0.00,0.00,0.00,0.00,0.00,0.71,0.52
Jul2012,0.07,1.45,0.07,0.00,28.44,0.02,0.00,2.76,0.24,53.76,64.17,57.60,40.51,81.57,0.00,0.00,0.00,0.00,0.00,0.00,0.12
Aug2012,0.07,2.36,0.18,0.05,22.17,0.00,0.01,5.86,0.00,12.61,3.45,0.90,0.08,15.97,0.23,0.02,0.00,0.00,0.00,0.21,0.00
Sep2012,1.57,1.97,0.03,0.00,17.84,0.00,0.00,0.07,0.13,9.19,2.94,1.75,0.31,30.21,2.09,5.66,0.13,0.00,0.00,0.03,0.44
Oct2012,2.18,3.62,0.65,1.69,14.50,0.01,0.00,2.29,0.71,0.20,0.10,0.52,0.00,0.40,1.99,0.00,0.00,0.00,0.00,0.03,0.00
Nov2012,0.30,2.21,4.23,0.00,26.55,0.03,0.08,0.46,1.94,6.77,3.10,2.20,0.00,4.74,14.36,0.32,0.30,0.00,0.00,0.05,0.03
Dec2012,1.14,3.95,3.88,0.64,30.40,0.10,0.36,0.32,1.40,26.00,16.51,3.69,4.73,2.46,5.73,0.00,0.01,0.00,0.43,15.10,1.07
Jan2013,0.02,2.05,0.38,0.75,13.33,0.18,0.02,1.13,0.65,0.00,15.84,0.49,0.00,1.90,0.00,0.00,1.21,0.07,0.00,0.03,0.38
Feb2013,0.00,5.38,0.78,0.29,13.39,0.03,0.01,0.76,2.35,0.00,3.93,0.42,0.00,0.00,0.00,0.00,0.56,0.18,0.00,0.00,0.00
Mar2013,0.00,1.52,1.14,0.68,10.64,0.00,0.01,0.77,4.83,0.59,1.69,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.41,0.82
Apr2013,0.00,0.91,1.37,1.30,1.65,0.03,0.07,0.81,0.16,0.00,0.00,0.00,0.00,0.00,0.00,4.10,0.01,0.00,0.06,0.00,8.42
May2013,0.11,0.06,0.08,0.00,19.75,0.02,0.07,0.60,1.26,13.78,1.02,1.09,1.65,0.00,0.01,0.00,0.00,0.00,1.58,0.42,7.71
Jun2013,0.21,0.12,0.02,0.00,0.84,1.37,0.39,0.83,0.24,0.00,0.13,1.55,0.00,0.29,11.12,0.00,0.00,0.00,0.09,0.00,2.68
Jul2013,0.44,0.04,0.03,0.00,8.71,4.33,3.47,2.77,1.52,7.43,4.09,9.49,1.65,1.74,5.08,0.00,0.00,0.00,0.00,0.00,5.38
Aug2013,0.10,0.09,0.05,0.00,0.01,4.92,2.20,0.38,1.07,0.00,0.00,0.03,0.00,1.16,12.25,0.00,0.00,0.00,0.00,0.01,19.76
Sep2013,2.12,0.01,0.45,0.00,0.01,9.32,0.21,0.13,0.29,0.00,0.40,0.42,0.00,0.50,4.19,0.00,0.02,0.00,0.00,1.01,24.51
Oct2013,0.12,0.18,1.18,0.76,3.32,2.67,0.26,0.79,0.05,16.81,18.94,19.27,9.30,0.00,0.04,0.00,0.00,0.00,0.00,0.50,6.57
Nov2013,0.12,2.56,7.88,3.30,0.79,0.82,1.08,1.86,0.13,8.28,0.00,0.25,0.00,0.00,0.00,0.00,0.01,0.00,0.00,16.49,0.08
Dec2013,0.27,4.11,9.29,4.19,1.07,0.02,0.94,1.60,0.11,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.12,0.09,0.11
Jan2014,2.41,0.37,5.86,4.85,0.17,0.78,1.37,1.25,5.61,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,7.52,0.02,1.64
Feb2014,2.87,3.29,6.55,9.24,0.41,0.70,1.05,2.16,6.37,0.00,0.00,0.00,0.00,0.00,11.92,0.00,0.02,0.00,3.74,0.00,15.04
Mar2014,8.97,1.72,4.12,1.45,0.51,3.30,0.52,1.37,4.00,0.00,0.00,0.00,0.00,1.06,6.62,0.00,1.03,0.40,16.35,0.12,2.49
Apr2014,3.80,0.34,1.73,4.13,0.78,5.91,1.86,0.96,8.38,0.00,0.00,0.00,0.00,0.00,0.64,0.00,0.65,5.68,27.52,10.48,8.67
May2014,20.03,0.06,0.48,3.22,5.69,22.17,6.25,1.95,3.07,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.28,12.41,27.54,2.45,5.40
Jun2014,19.35,0.08,0.15,0.26,5.52,11.39,5.01,0.97,0.21,0.00,0.20,0.00,1.16,0.00,1.96,0.00,0.89,0.77,22.97,8.32,28.53
Jul2014,16.54,0.43,0.15,0.41,2.22,3.85,22.11,1.47,1.74,1.08,0.03,0.05,4.95,0.00,7.81,0.00,1.62,0.00,2.49,11.12,22.54
Aug2014,27.98,1.99,0.25,1.65,1.86,24.86,50.13,11.98,17.43,0.00,0.00,0.00,0.00,0.04,10.30,0.00,1.40,0.00,0.29,47.69,6.79
Sep2014,24.39,1.93,0.03,2.57,3.78,37.41,72.98,10.21,44.08,0.00,0.00,0.00,0.00,0.00,2.77,0.00,3.52,0.25,0.12,6.90,29.21
Oct2014,45.96,2.06,0.55,7.51,14.61,33.32,25.25,6.72,53.22,0.00,0.00,0.00,0.00,0.00,17.09,0.00,0.09,0.07,18.65,35.05,0.01
Nov2014,51.86,3.37,2.85,0.24,9.36,29.57,15.44,12.06,18.65,0.00,0.00,0.00,0.00,0.00,0.39,0.00,3.23,0.17,22.83,22.67,0.37
Dec2014,81.35,6.41,4.51,0.66,6.39,59.29,34.19,10.37,2.94,0.00,0.00,0.00,0.00,0.00,5.36,0.00,0.26,0.07,13.33,15.04,0.93
Jan2015,74.16,7.32,5.45,9.72,7.12,66.04,52.80,4.35,2.67,0.00,0.00,0.00,0.00,0.00,14.50,0.00,0.43,1.66,0.00,2.45,2.92
Feb2015,89.78,4.25,14.63,2.70,1.64,72.59,23.58,3.55,8.47,0.00,0.00,0.00,0.00,0.00,14.29,0.00,10.11,9.86,16.67,1.00,0.27
Mar2015,84.81,17.35,6.65,2.83,2.19,71.62,19.95,1.26,4.05,0.00,0.00,0.00,0.00,0.00,35.61,0.14,9.47,60.11,0.50,0.00,0.01
Apr2015,67.82,27.94,4.63,24.05,2.58,67.74,11.53,1.11,8.61,0.00,0.00,0.00,0.00,0.00,2.95,33.07,55.61,92.20,4.44,0.00,0.00
May2015,36.98,13.03,2.06,9.28,6.00,40.69,11.28,4.24,0.53,0.00,1.53,0.22,1.88,0.02,0.19,25.86,52.03,81.28,4.04,0.00,0.50
Jun2015,17.83,10.19,0.04,22.19,6.88,33.26,4.55,7.85,5.00,0.00,0.00,0.06,0.00,0.79,0.33,66.13,46.63,86.75,3.52,0.00,0.11
Jul2015,40.78,2.28,0.19,0.31,5.60,28.66,1.96,32.77,30.17,0.00,0.10,0.05,0.00,1.16,3.36,81.04,47.19,56.01,37.36,0.00,0.32
Aug2015,42.32,2.87,1.69,2.63,14.71,13.71,2.13,16.94,45.74,0.00,0.00,0.00,0.00,0.08,0.09,92.89,51.78,20.96,82.28,2.70,0.19
Sep2015,37.96,1.43,3.24,1.47,28.46,0.90,6.61,4.08,46.15,8.18,3.10,6.30,13.33,0.46,0.01,48.96,33.72,23.45,80.63,42.45,0.00
Oct2015,69.35,0.58,7.02,2.80,3.92,13.77,20.33,2.07,12.61,0.00,2.17,1.26,0.00,2.08,0.10,92.89,19.61,14.30,12.51,1.96,0.00
Nov2015,50.54,18.56,12.49,7.01,14.93,20.91,12.78,4.87,9.93,1.92,15.94,11.13,36.28,3.87,0.22,99.22,20.64,66.37,43.39,0.00,0.00
Dec2015,28.95,21.23,16.66,13.37,37.66,7.89,8.50,1.90,12.57,64.13,45.03,65.69,78.92,28.55,0.28,97.46,3.34,63.69,14.35,0.01,0.44
Jan2016,11.91,20.76,45.37,18.20,28.86,23.21,3.07,10.31,15.47,53.57,13.70,30.51,48.39,31.98,0.23,95.26,12.86,17.71,1.14,2.50,3.53
Feb2016,32.23,2.08,17.01,3.86,11.13,48.97,13.38,23.63,12.00,47.96,16.46,28.03,5.93,41.96,10.45,99.53,17.27,25.42,0.08,0.00,4.28
Mar2016,30.58,1.96,14.84,3.63,14.11,54.80,12.80,12.84,5.27,34.70,9.68,5.52,3.30,10.38,9.95,97.11,11.14,66.57,0.00,0.00,0.50
Apr2016,44.60,3.10,25.03,0.29,6.75,77.56,23.94,5.88,7.34,12.42,3.00,0.00,0.78,0.00,23.07,44.35,7.36,10.38,0.24,0.00,0.07
May2016,3.81,4.57,20.42,1.85,0.77,42.39,41.84,8.85,4.62,1.76,5.91,4.35,0.23,4.45,0.73,19.61,1.41,9.93,5.28,0.00,0.00
Jun2016,5.31,6.76,12.16,12.12,3.62,25.95,42.43,15.40,3.08,4.44,16.70,8.19,2.09,4.22,0.29,8.80,6.44,1.15,22.35,2.44,0.11
Jul2016,3.69,31.37,17.01,53.60,6.90,24.76,64.45,7.38,7.70,0.00,4.60,2.41,4.88,3.11,0.02,0.02,2.81,0.01,17.89,6.70,11.31
Aug2016,3.15,9.04,4.17,20.78,17.72,8.59,53.35,3.18,8.34,21.90,52.41,65.34,86.50,49.85,0.04,0.00,2.68,0.00,19.08,0.50,14.00
Sep2016,0.39,23.08,4.86,10.49,26.74,36.60,45.95,1.31,6.70,69.29,63.00,79.29,79.15,81.68,46.35,0.00,2.53,0.00,43.18,0.00,0.01
Oct2016,1.58,50.83,8.45,10.42,14.17,46.02,65.57,23.50,10.26,69.70,69.37,74.77,70.14,65.22,65.56,0.00,0.49,0.00,7.84,0.09,13.36
Nov2016,14.10,43.46,18.36,4.02,7.06,48.10,45.70,39.52,17.90,32.93,85.15,56.02,58.84,68.78,28.03,0.00,0.01,0.00,0.02,0.98,11.26
Dec2016,3.80,34.85,11.08,14.47,9.88,25.17,44.21,35.70,12.33,10.26,21.46,4.89,5.55,18.57,39.44,0.00,0.00,0.00,0.01,0.61,3.55
Jan2017,0.62,35.37,2.51,14.03,9.15,5.81,18.55,26.93,16.41,9.97,1.18,3.28,0.15,7.59,28.57,0.00,0.00,0.00,0.53,0.31,0.74
Feb2017,1.65,35.68,5.60,4.76,4.98,0.13,4.54,19.93,7.98,20.78,6.68,4.03,6.81,14.20,24.26,0.00,1.15,0.00,4.52,19.16,0.36
Mar2017,5.15,33.24,12.91,12.33,3.63,0.00,10.06,5.00,22.64,7.53,2.68,0.27,7.35,1.30,10.70,0.00,0.89,0.00,18.93,23.27,9.26
Apr2017,2.85,20.64,13.82,22.45,4.35,0.53,7.88,3.29,53.16,1.62,14.59,0.45,8.99,0.25,6.77,0.06,0.00,0.00,44.79,35.32,8.23
May2017,0.80,1.53,12.28,7.53,2.77,0.16,6.64,6.34,22.18,0.00,6.74,1.67,2.55,0.08,1.80,0.71,0.15,0.00,29.61,1.02,3.97
Jun2017,0.70,3.14,2.21,2.33,0.51,0.08,6.59,9.46,21.29,0.30,5.25,1.36,1.40,0.50,2.16,0.11,0.16,0.00,6.89,0.70,28.51
Jul2017,5.23,10.65,3.16,2.81,1.15,0.19,5.84,8.38,37.32,0.00,0.29,0.00,0.00,0.00,30.37,0.00,0.24,0.00,6.79,17.11,13.03
Aug2017,1.89,3.60,5.58,3.94,0.38,1.59,4.40,6.64,21.85,0.00,0.03,0.00,0.00,0.06,14.32,0.00,0.76,0.00,10.76,20.73,41.61
Sep2017,2.47,0.91,21.91,3.33,1.68,3.24,1.48,3.82,25.74,25.05,16.44,18.81,21.24,3.52,0.00,0.00,0.17,0.00,9.56,7.11,2.37
Oct2017,0.58,4.08,8.95,0.82,32.26,1.41,1.84,8.78,3.53,64.32,53.11,71.38,58.67,50.35,0.24,0.00,0.83,0.00,0.78,32.98,9.97
Nov2017,7.68,9.01,6.46,0.47,29.53,0.34,13.74,27.58,1.79,3.03,2.08,5.88,0.16,0.00,0.10,0.00,0.02,0.00,0.49,21.89,9.27
Dec2017,14.84,20.12,6.49,1.88,12.09,0.01,10.76,33.32,0.51,2.05,0.19,0.00,0.00,0.00,0.51,0.00,0.30,0.00,0.00,2.22,29.71
Jan2018,28.75,2.66,18.84,0.06,11.86,0.18,12.05,11.04,3.47,0.00,0.00,0.00,0.00,0.00,0.43,0.00,0.00,0.00,0.00,12.28,34.67
Feb2018,16.21,14.71,5.86,1.74,13.62,0.35,40.63,17.68,2.84,0.00,0.00,0.00,0.00,0.00,0.06,0.00,1.30,0.00,1.85,3.07,27.70
Mar2018,5.92,20.52,2.07,0.83,12.59,0.07,28.71,22.72,2.00,1.56,0.03,0.00,0.00,0.00,0.00,0.00,3.69,0.00,6.35,0.90,24.81
Apr2018,3.10,3.05,1.61,0.01,7.45,0.06,18.26,6.45,13.22,0.00,0.10,0.00,0.00,0.00,0.00,0.00,27.99,0.12,51.08,0.01,1.77
May2018,0.54,13.10,0.67,1.66,6.72,2.21,17.96,7.59,7.61,0.00,8.59,1.69,0.83,0.92,0.04,0.00,24.32,0.21,7.79,0.00,7.82
Jun2018,0.70,8.35,0.21,5.42,3.43,0.33,2.72,6.07,0.83,0.00,4.16,1.24,0.31,0.37,10.28,0.00,12.14,0.03,1.86,0.01,0.42
Jul2018,2.44,5.15,1.22,4.97,6.77,3.75,5.56,8.77,1.21,1.96,3.23,2.02,4.88,0.28,4.64,0.00,4.29,0.03,0.25,0.00,0.00
Aug2018,5.62,1.38,0.02,0.06,16.22,1.19,3.45,9.75,4.04,8.99,22.13,30.13,0.15,1.52,2.74,0.00,2.18,2.60,4.28,0.58,0.00
Sep2018,2.86,8.01,0.08,13.09,19.13,17.61,24.28,32.04,4.47,15.66,3.37,7.12,10.62,3.19,0.83,0.00,9.07,1.76,19.66,0.01,0.02
Oct2018,1.00,23.11,0.00,25.55,13.24,50.33,61.54,50.18,10.40,2.15,1.60,0.41,0.98,0.08,3.82,0.09,27.53,8.01,16.10,0.14,0.29
